Source;Nom;Latitude;Longitude;Syst Géo;Profondeur / Intérêt;Localisation
OCEANS;KROMAC;47N02,526;2W22,490;WGS 84;;Noirmoutier
CDASM 56;BAIGORRY;47N03,678;2W53,963;ED 50;;
CDASM 56;;47N04,438;3W02,080;WGS 84;;
CDASM 56;;47N04,563;2W57,632;WGS 84;;
Vérifié;THERESIA;47N04,960;2W27,269;WGS 84;;Noirmoutier
WRECK.FR;ANTONIOS STATHATOS;47N05,270;2W36,730;;35;Noirmoutier
CAP INFO 98;ZAYANNA;47N05,803;3W06,879;ED 50;;
NARCOSE 29;LA 16;47N06,000;2W58,000;ED 50;;
CDASM 56;Cargo;47N06,928;2W58,839;WGS 84;;
OCEANS;CHASSEUR 107;47N06,930;2W22,424;WGS 84;;
CDASM 56;DAN;47N07,626;2W56,743;WGS 84;;
NARCOSE 29;DAN;47N07,686;2W56,661;ED 50;;
CDASM 56;;47N07,741;3W13,054;WGS 84;;
CDASM 56;ELISABETHVILLE;47N07,770;3W11,526;WGS 84;;
NARCOSE 29;ELISABETHVILLE;47N07,831;3W11,446;ED 50;;
CAP INFO 98;PETIT JEROME;47N07,910;3W57,774;ED 50;;
CDASM 56;CHANT DES SIRENES;47N07,939;2W59,080;WGS 84;;
CDASM 56;;47N07,939;3W05,080;WGS 84;;
CDASM 56;;47N08,815;3W09,795;WGS 84;;
CDASM 56;;47N08,938;3W17,080;WGS 84;;
NARCOSE 29;LANCASTRIA;47N09,089;2W20,325;ED 50;;
NARCOSE 29;CHATELIER;47N10,442;2W17,463;ED 50;;
CDASM 56;GOATHLAND;47N10,834;3W08,259;WGS 84;;
NARCOSE 29;GOATHLAND;47N10,920;3W08,160;ED 50;;
CDASM 56;;47N10,939;3W02,080;WGS 84;;
NARCOSE 29;CARLY;47N11,807;2W29,869;ED 50;;
NARCOSE 29;ASIE;47N12,121;2W15,494;ED 50;;
CDASM 56;BAVARIA;47N14,411;2W58,909;WGS 84;;
NARCOSE 29;BAVARIA (Dit PITOCHET);47N14,471;2W58,829;ED 50;;
SCUBAXPEDIA;LE LAOS;47N16,199;2W37,851;WGS 84;;
OCEANS;LE LAOS;47N16,259;2W37,770;WGS 84;;
NARCOSE 29;LE LAOS;47N16,259;2W37,770;ED 50;;
LIVRE;LE LAOS;47N16,259;2W37,790;WGS 84;;
NARCOSE 29;PRINCE DE CONTY;47N17,353;3W06,770;ED 50;;
Carte épaves Ouessant;CITY OF FRANCFORT;47N18,239;4W52,813;;;
NARCOSE 29;CITY OF FRANCFORT;47N18,299;4W52,732;ED 50;;
NARCOSE 29;VERDUN;47N18,997;5W32,001;ED 50;;
NARCOSE 29;EGLANTINE;47N18,999;2W49,998;ED 50;;
NARCOSE 29;GAI LITORAL;47N19,639;2W41,800;ED 50;;
CDASM 56;L'YSER;47N20,019;3W14,883;ED 50;;
Vérifié;KANSAN;47N20,110;3W03,005;WGS 84;;Quiberon
NARCOSE 29;ROTENF JEIL;47N20,148;3W01,166;ED 50;;
CDASM 56;LE CHARBONIER;47N20,254;2W59,386;ED 50;;
NARCOSE 29;CHARBONNIER HOEDIC;47N20,254;2W59,386;ED 50;;
Vérifié;PHILIPPE ERIC;47N21,185;3W06,392;WGS 84;;Quiberon
NARCOSE 29;CABOTEUR;47N22,064;3W06,673;ED 50;;
Vérifié;HANAN;47N22,697;3W06,049;WGS 84;;Quiberon
NARCOSE 29;BOUNTY;47N23,001;5W02,364;ED 50;;
NARCOSE 29;FLORENCE H;47N25,659;2W56,180;ED 50;;
CDASM 56;FLORENCE H;47N25,659;2W56,180;ED 50;;
NARCOSE 29;ARTIGLIO;47N25,773;2W56,197;ED 50;;
CDASM 56;ARTIGLIO;47N25,782;2W56,242;ED 50;;
Carte épaves Ouessant;THROSTLE;47N25,843;4W55,060;;;
NARCOSE 29;THROSTLE;47N25,904;4W54,986;ED 50;;
NARCOSE 29;L 128;47N26,000;3W06,000;ED 50;;
NARCOSE 29;A.N. HANSEN;47N26,177;3W05,104;ED 50;;
NARCOSE 29;KARL BECK  / CARL BECH;47N26,500;3W05,975;ED 50;;
CDASM 56;MARULIE;47N26,549;3W19,360;WGS 84;;
NARCOSE 29;VOLTAIRE;47N26,751;2W44,650;ED 50;;
NARCOSE 29;LA MONIQUE;47N27,000;3W02,000;ED 50;;
